clean_questions,clean_answer,questions,answers
rebus kacang mentah air garam cangkangnya empuk,just boil raw peanuts in salt water until the shells are soft,rebus saja kacang mentah dalam air garam sampai cangkangnya empuk.,just boil raw peanuts in salt water until the shells are soft.
mencobanya kapankapan,ill have to try them sometime,saya harus mencobanya kapan-kapan.,i'll have to try them sometime.
enak panas,theyre best when theyre hot,paling enak saat panas.,they're best when they're hot.
saudara lakilaki alergi kacang,my brother is allergic to peanuts,saudara laki-laki saya alergi kacang.,my brother is allergic to peanuts.
,thats not good,itu tidak baik.,that's not good.
mati,no it isnt he almost died when he was little,"tidak, tidak. dia hampir mati ketika dia masih kecil.","no, it isn't. he almost died when he was little."
berhatihati makan,i guess he has to be very careful about what he eats,Saya kira dia harus sangat berhati-hati tentang apa yang dia makan.,i guess he has to be very careful about what he eats.
berat badan bertambah,he has a very strict diet,berat badan saya bertambah.,he has a very strict diet.
peroleh,how much have you gained,berapa banyak yang telah kamu peroleh?,how much have you gained?
pound,three pounds just this month,tiga pound saja bulan ini.,three pounds just this month.
,do you know why,apa kamu tahu kenapa?,do you know why?
pikir es krim,i think its the ice cream,saya pikir itu es krim.,i think it's the ice cream.
makan es krim,you started eating ice cream,kamu mulai makan es krim?,you started eating ice cream?
diobral,it was on sale,itu sedang diobral.,it was on sale.
beli,how much did you buy,berapa banyak yang kamu beli?,how much did you buy?
mengisi lemari es es krim,i filled up my freezer with ice cream,saya mengisi lemari es saya dengan es krim.,i filled up my freezer with ice cream.
yah bertahan,well it wont last forever,"yah, itu tidak akan bertahan selamanya.","well, it won't last forever."
pikir menyelesaikan minggu,no i figure ill finish it all by next week,"Tidak, saya pikir saya akan menyelesaikan semuanya minggu depan.","no, i figure i'll finish it all by next week."
kenyang,then you can start losing weight if there isnt another sale,saya kenyang.,"then you can start losing weight, if there isn't another sale."
makan meja,of course you are you ate everything on the table,tentu saja kamu. Anda makan semuanya di atas meja.,of course you are. you ate everything on the table.
suka makan sisa makanan,i dont like to eat leftovers,saya tidak suka makan sisa makanan.,i don't like to eat leftovers.
senang mendengar suka makan,im glad to hear theres something you dont like to eat,Saya senang mendengar ada sesuatu yang tidak Anda suka makan.,i'm glad to hear there's something you don't like to eat.
suka makanan panas segar,i like my food hot and fresh,Saya suka makanan saya panas dan segar.,i like my food hot and fresh.
menghilang,you like to see it disappear,Anda ingin melihatnya menghilang.,you like to see it disappear.
suka dipanaskan,i dont like it reheated,Saya tidak suka dipanaskan kembali.,i don't like it reheated.
memiliki makanan segar panas besok malam,well youll have hot fresh food tomorrow night,"baik, Anda akan memiliki makanan segar panas besok malam.","well, you'll have hot fresh food tomorrow night."
kenyang meledak,im so full im going to burst,"Saya sangat kenyang, saya akan meledak.",i'm so full i'm going to burst.
melonggarkan ikat pinggang,you should loosen your belt,Anda harus melonggarkan ikat pinggang Anda.,you should loosen your belt.
melonggarkan ikat pinggang membuka kancing celana,i already loosened my belt and unbuttoned my pants,Saya sudah melonggarkan ikat pinggang saya dan membuka kancing celana saya.,i already loosened my belt and unbuttoned my pants.
lakukan,well dont stand up please,saya melihat apa yang Anda lakukan.,"well, don't stand up, please."
apaapa,i didnt do anything,saya tidak melakukan apa-apa.,i didn't do anything.
oh ya melakukannya,oh yes you did,"oh ya, kamu melakukannya.","oh yes, you did."
bicarakan,what are you talking about,apa yang kamu bicarakan?,what are you talking about?
bicarakan,you know what im talking about,Anda tahu apa yang saya bicarakan.,you know what i'm talking about.
ide,i dont have any idea,saya tidak punya ide.,i don't have any idea.
lakukan,you know what you did,Anda tahu apa yang Anda lakukan.,you know what you did.
,maybe i know but how could you know,"mungkin saya tahu, tapi bagaimana Anda bisa tahu?","maybe i know, but how could you know?"
memperhatikanmu,because i was watching you,karena aku sedang memperhatikanmu.,because i was watching you.
oke maaf melakukannya,okay im sorry i did it,"oke, maaf saya melakukannya.","okay, i'm sorry i did it."
minum susu karton gelas,dont drink milk out of the carton use a glass,jangan minum susu dari karton. gunakan gelas!,don't drink milk out of the carton. use a glass!
suka kemeja,i promise ill never drink out of the carton again,Saya suka kemeja itu.,i promise i'll never drink out of the carton again.
,so do i,begitu juga aku.,so do i.
harganya,how much is it,berapa harganya?,how much is it?
tag hilang,i dont know the tag is missing,saya tidak tahu tag hilang.,i don't know. the tag is missing.
petugas,ask the clerk,tanya petugas.,ask the clerk.
,i will,aku akan.,i will.
oh lihat kemeja,oh look heres another shirt just like it,Oh lihat. inilah kemeja lain seperti itu.,"oh, look. here's another shirt just like it."
memiliki label harga,does it have a price tag,apakah itu memiliki label harga?,does it have a price tag?
ya 20,yes it does its only 20,"ya, itu benar. hanya $ 20.","yes, it does. it's only $20."
harga bagus,thats a great price,itu harga yang bagus.,that's a great price.
pikir membeli,i think ill buy both of them,Saya pikir saya akan membeli keduanya.,i think i'll buy both of them.
membelikanmu celana,youd better try them on first,aku membelikanmu celana.,you'd better try them on first.
terima kasih,thank you,Terima kasih.,thank you.
harap cocok,i hope they fit,saya harap mereka cocok.,i hope they fit.
harap menyimpan tanda terima,i hope you kept the receipt,Saya harap Anda menyimpan tanda terima.,i hope you kept the receipt.
pikir cocok,you think they wont fit,Anda pikir mereka tidak akan cocok?,you think they won't fit?
pikir berat badan bertambah,i think ive put on some weight,Saya pikir berat badan saya bertambah.,i think i've put on some weight.
pikir,you think,kamu pikir?,you think?
pon,maybe a pound or two,mungkin satu atau dua pon.,maybe a pound or two.
pound,maybe four or five pounds,mungkin empat atau lima pound?,maybe four or five pounds?
pinggang,my waist is bigger than it was,pinggang saya lebih besar dari sebelumnya.,my waist is bigger than it was.
celana memiliki ikat pinggang elastis,no problem these pants have an elastic waistband,tidak masalah. celana ini memiliki ikat pinggang yang elastis.,no problem. these pants have an elastic waistband.
beli,you are so smart,apa yang perlu kita beli?,you are so smart!
biarkan daftar,let me look at our list,biarkan saya melihat daftar kami.,let me look at our list.
membutuhkan susu,i know that we need milk,saya tahu bahwa kami membutuhkan susu.,i know that we need milk.
lemak,nonfat,tanpa lemak.,nonfat.
,of course what else,tentu saja. apa lagi?,of course. what else?
membutuhkan keju roti ham,we need cheese bread and ham,"kita membutuhkan keju, roti, dan ham.","we need cheese, bread, and ham."
keju jenis,what kind of cheese,keju jenis apa?,what kind of cheese?
swiss,swiss,swiss.,swiss.
keju berlubang,of course the cheese with holes in it,"tentu saja, keju yang berlubang.","of course, the cheese with holes in it."
membeli keju swiss,i never used to buy swiss cheese,Saya tidak pernah membeli keju swiss.,i never used to buy swiss cheese.
,why not,kenapa tidak?,why not?
butuh celana,i didnt want to pay for the holes,saya butuh beberapa celana.,i didn't want to pay for the holes.
pikir membeli sepasang,i thought you just bought a pair,Saya pikir Anda baru saja membeli sepasang.,i thought you just bought a pair.
melakukannya,i did,aku melakukannya.,i did.
secepat,whats wrong with them so soon,ada apa dengan mereka secepat ini?,what's wrong with them so soon?
celananya bagus kantungnya berlubang,the pants are fine but the pocket has a huge hole in it,"celananya bagus, tapi kantungnya berlubang besar.","the pants are fine, but the pocket has a huge hole in it."
membawa kunci pena saku,you shouldnt carry your keys and pens in your pocket,Anda tidak boleh membawa kunci dan pena di saku.,you shouldn't carry your keys and pens in your pocket.
gunanya kantong,but thats what pockets are for,tapi itulah gunanya kantong.,but that's what pockets are for.
membawanya tas,you should carry them in a purse,Anda harus membawanya dalam tas.,you should carry them in a purse.
lakilaki lakilaki membawa dompet,im a man and men dont carry purses,"Saya laki-laki, dan laki-laki tidak membawa dompet!","i'm a man, and men don't carry purses!"
beli celana kantong kuat,well you should buy pants with stronger pockets,"Nah, sebaiknya beli celana dengan kantong yang lebih kuat.","well, you should buy pants with stronger pockets."
melakukannya menemukan kantong kuat,i would if i could find someone who makes strong pockets,Saya akan melakukannya jika saya bisa menemukan seseorang yang membuat kantong kuat.,i would if i could find someone who makes strong pockets.
tisu,try a google search online,untuk apa tisu itu?,try a google search online.
menggunakannya menghapus pegangan keranjang belanja,you use them to wipe the handle of the shopping cart,Anda menggunakannya untuk menghapus pegangan keranjang belanja.,you use them to wipe the handle of the shopping cart.
ide bagus,thats a great idea,itu ide yang bagus.,that's a great idea.
ya pasar menawarkan tisu pembeli,yes all the markets just started offering wipes to shoppers,"ya, semua pasar baru saja mulai menawarkan tisu kepada pembeli.","yes, all the markets just started offering wipes to shoppers."
mengambil tisu,im going to take five wipes,Saya akan mengambil lima tisu.,i'm going to take five wipes.
berlima,what do you need five of them for,untuk apa kamu berlima?,what do you need five of them for?
menyeka gagang menyeka produk,one to wipe the handle and the others to wipe the produce,"satu untuk menyeka gagang, dan yang lainnya untuk menyeka produk.","one to wipe the handle, and the others to wipe the produce."
produknya,whats the matter with the produce,ada apa dengan produknya?,what's the matter with the produce?
menurutmu pisang jatuh langit,do you think the bananas fell from the sky,menurutmu apakah pisang jatuh dari langit?,do you think the bananas fell from the sky?
maksudmu,what do you mean,apa maksudmu?,what do you mean?
maksud tangan kotornya memetik pisang apel jeruk,i mean someone used their dirty hands to pick the bananas the apples and the oranges,"Maksud saya, seseorang menggunakan tangan kotornya untuk memetik pisang, apel, dan jeruk.","i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
pergi toko 99 sen,well you better save a wipe for the dirty dollar bills youre going to pay with,apakah kamu pergi ke toko 99 sen?,"well, you better save a wipe for the dirty dollar bills you're going to pay with."
ya lakukan,yes i did,ya saya lakukan.,"yes, i did."
beli,what did you buy,apa yang Anda beli?,what did you buy?
yah penawaran bagus,well i got a lot of good deals as usual,"Yah, saya mendapat banyak penawaran bagus, seperti biasa.","well, i got a lot of good deals, as usual."
,like what,seperti apa?,like what?
yah selusin telur harganya 99 sen,well a dozen large eggs were only 99 cents,"yah, selusin telur besar harganya hanya 99 sen.","well, a dozen large eggs were only 99 cents."
