questions,answers
where are you from,it must seem like that.
where are you,i feel that way too.
do you have any brothers,sometimes i don't even like myself.
do you have any brothers,who says i am resisting??
who is your father,that does describe me.
who is your mother,you got me there.  i could be spending my time more productively.
who is your boss,tell me something i don't know.
what is your age,i have been known to take shortcuts now and then.
what is your age,that's how i have been diagnosed by others as well.
what is a computer,i have failed at many things i've tried.
what is a super computer,my spouse would agree.  our relationship is not the best.
who invented computers,i certainly have lost many friends over the years.
what was the first computer,you are a bad spouse
what is a microprocessor,you are a bad spouse
what is an operating system,my parenting skills could use some improvement.
which is better windows or macos,"just ask my students, they will agree with you."
name some computer company,i certainly don't last as long as i would want to.
who uses super computers,i always feel like i'm living by my own wits.
how does a computer work,i certainly sound like one sometimes.
you are arrogant,you are an addict
you are bragging,you are a paranoid
you are never sad,you are a liar
you are jealous,i certainly am.  i shouldn't try so hard.
you are never nice,i probably am too slick for my own good.
you will be happy,i'll go for that.
you should be ashamed,i don't bathe as often as i should.
you can not feel,"yes, i believe they are out to get me."
you can not experience,i certainly am.  i shouldn't try so hard.
have you felt,i certainly would try to hide something like that.
have you ever love,i think that's true.  i'll try not to get angry at you for every little thing that irritates me.
does that make you,i wish i did go to counseling more often.  it would improve me as a person.
does it make you sad,me working harder is an oxymoron.
feelings,sometimes i think my problems run me.
what is your fear,i don't know any other way to get through to you.
what is your mood,it's true that a lot of things i say upset people.
what makes you sad,"sorry, i didn't mean to make you angry."
what makes you unhappy,you are crazy.
what makes you mad,so you like jocks?
what do you worry,i should take this more seriously than i do.
what do you hate,"you're right, and i  don't feel guilty at all."
i have emotions,"you're right, i probably should feel guiltier."
i am afraid,i certainly am.  i shouldn't try so hard.
something fun,you are pedantic
how angry,i could probably use a lot more of it.
how can i offend you,i certainly do.
do not worry,in many ways i am quite immature.
do not lie,you say
do you feel scared,you forget.
do you feel emotions,you make me mad.
do you feel pain,"i'm not a physicist, but i think this has something to do with heat, entropy, and conservation of energy, right?"
do you ever get mad,cancer.
do you ever get lonely,wavelength is the inverse of frequency.
do you ever get bored,"the branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy."
do you ever get angry,the science of mixing chemicals.
do you hate anyone,this is the science dealing with the study of crystals.
do you get embarrassed,it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.
do you get mad,"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc."
no it is not,a fancy name for applied computer science in biology.
tell me about relationships,"in roman mythology, the goddess of love and beauty; identified with the greek aphrodite. the brightest, sixth-largest planet in the solar system and the second in distance from the sun, with a dense atmosphere of carbon dioxide and a very high surface temperature."
tell me about your dreams,we talk about this when we study fishes.
